user,category,rating
1,28,17
1,20,16
1,6,32
1,15,31
1,1,0
1,3,28
1,5,33
1,17,22
1,20,14
2,23,3
2,9,32
2,14,32
2,27,14
2,17,14
2,1,10
2,8,0
2,27,32
2,23,8
3,26,11
3,14,20
3,12,19
3,13,25
3,5,1
3,4,11
4,7,18
4,14,28
4,5,16
4,3,20
4,19,14
4,12,10
4,21,6
4,1,23
4,27,34
5,8,11
5,6,32
5,19,15
5,23,17
5,2,29
5,12,22
5,15,26
5,28,20
6,21,13
6,26,5
6,3,22
6,8,26
6,15,30
6,16,31
6,18,24
6,1,16
6,19,34
7,24,6
7,4,31
7,15,13
7,23,30
7,1,29
7,14,8
7,18,21
7,27,5
7,28,16
8,11,19
8,22,26
8,7,31
8,6,28
8,18,23
8,14,16
8,2,29
8,12,0
8,4,17
9,13,27
9,22,9
9,9,17
9,11,30
9,6,34
9,18,20
9,7,25
9,15,26
9,5,2
10,5,29
10,24,27
10,19,13
10,20,32
10,7,24
10,1,12
10,12,31
10,6,19
10,17,15
11,16,23
11,12,7
11,25,29
11,5,18
11,21,14
11,1,27
11,8,30
11,3,32
11,14,11
12,20,8
12,4,33
12,1,31
12,28,22
12,14,10
12,24,20
12,6,18
12,9,2
12,17,23
13,19,13
13,1,30
13,12,29
13,22,26
13,28,11
13,5,9
13,9,24
13,16,34
13,11,7
14,26,5
14,18,31
14,4,29
14,5,10
14,1,26
14,7,14
14,22,21
14,15,16
14,19,33
15,3,24
15,12,15
15,7,30
15,25,14
15,10,9
15,14,17
15,28,23
15,22,6
15,4,33
16,23,10
16,6,22
16,13,32
16,15,17
16,1,14
16,9,5
16,14,27
16,26,30
16,18,8
17,7,23
17,8,34
17,16,15
17,5,30
17,2,29
17,22,12
17,28,13
17,14,18
17,21,11
18,13,17
18,19,14
18,6,27
18,9,20
18,27,26
18,1,12
18,11,31
18,25,33
18,8,16
19,15,13
19,5,26
19,2,30
19,4,11
19,14,31
19,26,22
19,18,8
19,10,27
19,7,17
20,22,29
20,3,16
20,7,21
20,25,34
20,11,18
20,8,23
20,18,26
20,14,33
20,1,7
